,No,Rider,Front,Rear,Heat1,Pena-1,Heat2,Pena-2,Time,Rating[%],Date,Season,Manufacturer,Class,Machine
434,134,窪田 浩二,P:スーパーコルサ SC1,P:スーパーコルサ SC1,"1'36""040",0,"1'35""087",1,"1'36""040",118.83,2017-11-09,2017,Yamaha,C2,MT-09
435,134,窪田 浩二,P:スーパーコルサ SC1,P:スーパーコルサ SC1,"1'36""040",0,"1'35""087",1,"1'36""040",118.83,2017-11-09,2017,Yamaha,D1,MT-09
436,112,窪田 浩二,D:Q4,D:Q4,"1'40""800",0,"1'39""734",0,"1'39""734",113.73,2019-11-09,2019,Yamaha,C2,MT-09
437,112,窪田 浩二,D:Q4,D:Q4,"1'40""800",0,"1'39""734",0,"1'39""734",113.73,2019-11-09,2019,Yamaha,D1,MT-09
438,112,窪田 浩二,D:Q4,D:Q4,"1'40""800",0,"1'39""734",0,"1'39""734",113.73,2019-11-09,2019,Yamaha,C2,MT-09
439,112,窪田 浩二,D:Q4,D:Q4,"1'40""800",0,"1'39""734",0,"1'39""734",113.73,2019-11-09,2019,Yamaha,D1,MT-09
440,138,内藤 啓,D:α13,D:α13,"1'42""447",0,"9'59""999",0,"1'42""447",126.76,2017-11-09,2017,Honda,D3,VTR250
441,116,内藤 啓,D:α-13,D:α-13,"9'59""999",MC,"9'59""999",MC,"9'59""999",,2018-08-18,2018,Honda,D3,VTR250
442,142,中村 純,D:α13SP,D:α13SP,"9'59""999",MC,"9'59""999",0,"9'59""999",,2017-11-09,2017,Suzuki,C2,GSX-R750
443,112,中村 純,P:スーパーコルサV3,P:スーパーコルサV3,"1'45""034",0,"1'37""671",0,"1'37""671",113.82,2019-09-28,2019,Suzuki,C2,GSX-R750
444,108,中村 純,D:α-13SP,P:,"1'31""603",0,"1'30""373",0,"1'30""373",120.5,2018-10-20,2018,Suzuki,C2,GSX-R750
445,143,中村 純,P:V3,SC1,"1'45""050",0,"1'43""536",0,"1'43""536",118.07,2019-11-09,2019,Suzuki,C2,GSX-R750
446,133,中村 純,D:α-13SP,P: スパーコルサ,"9'59""999",MC,"1'47""562",0,"1'47""562",114.63,2018-08-18,2018,Suzuki,C2,GSX-R750
447,148,吉崎 忠雄,D:BT601,D:BT601,"1'37""516",0,"1'34""914",1,"1'35""914",118.67,2017-11-09,2017,Honda,D1,GROM
448,125,吉崎 忠雄,D:BT601,D:BT601,"1'40""724",0,"1'35""183",0,"1'35""183",119.41,2018-05-03,2018,Honda,D1,GROM
449,161,片山 雄介,D:α13SP,D:α13SP,"1'32""202",0,"1'26""343",0,"1'26""343",106.83,2017-11-09,2017,Suzuki,B,SV650
