,No,Rider,Front,Rear,Heat1,Pena-1,Heat2,Pena-2,Time,Rating[%],Date,Season,Manufacturer,Class,Machine
59,129,杉江 賢一,D:ロードスポーツ,D:ロードスポーツ,"1'57""592",0,"9'59""999",MC,"1'57""592",125.32,2018-08-18,2018,Yamaha,D1,MT-07
60,117,藤野 人志,I: RX-02,I: RX-02,"1'50""321",0,"1'48""967",0,"1'48""967",123.8,2018-06-30,2018,Honda,D2,CB400SF
61,118,吉田 達成,D: α-13SP,D: α-13SP,"1'55""926",0,"9'59""999",0,"1'55""926",131.71,2018-06-30,2018,Honda,D2,CBR600F4i
62,109,吉田 達成,D:α-13SP,D:α-13SP,"9'59""999",MC,"9'59""999",MC,-,,2020-07-12,2020,Honda,D2,VTR250
63,131,吉田 達成,I:rx-03,I:rx-01,"1'46""716",0,"1'46""252",0,"1'46""252",123.82,2019-09-28,2019,Honda,D2,VTR250
64,126,吉田 達成,D:α-13SP,D:ロードスポーツ,"1'49""535",1,"1'45""042",0,"1'45""042",131.78,2018-05-03,2018,Honda,D2,CBR600F4i
65,120,井伊 利光,D: α13SP,D: α13SP,"9'59""999",0,"1'36""811",2,"1'38""811",112.26,2018-06-30,2018,Kawasaki,B,KDX220SR
66,161,井伊 利光,D:α-13SP,D:α-13SP,"9'59""999",MC,"1'32""661",0,"1'32""661",104.27,2021-05-04,2021,Kawasaki,B,KDX220SR
67,101,井伊 利光,D:α13SP,D:α13SP,"1'30""400",0,"1'28""285",1,"1'29""285",110.47,2017-11-09,2017,Kawasaki,B,KDX220SR
68,151,井伊 利光,D:α-13SP,D:α-13SP,"1'30""491",1,"1'31""926",3,"1'31""491",106.61,2019-09-28,2019,Kawasaki,B,KDX220SR
69,146,井伊 利光,D:,α-13SP,"1'20""845",0,"1'20""532",0,"1'20""532",107.38,2018-10-20,2018,Kawasaki,B,KDX220SR
70,102,井伊 利光,D:α-13SP,D:α-13SP,"9'59""999",MC,"1'27""061",0,"1'27""061",109.22,2018-05-03,2018,Kawasaki,B,KDX220SR
71,144,井伊 利光,D:α-13SP,D:α-13SP,"1'22""496",0,"1'21""711",0,"1'21""711",105.7,2019-06-16,2019,Kawasaki,B,KDX220SR
72,121,白井 翼,α13SP,α13SP,"1'40""884",0,"1'39""308",0,"1'39""308",112.83,2018-06-30,2018,Suzuki,C1,GSX-R750
73,152,白井 翼,D:α-13SP,D:α-14,"1'30""973",0,"1'49""427",0,"1'30""973",111.96,2017-07-15,2017,Suzuki,C1,GSX-R750
74,147,白井 翼,D:α-13SP,D:α-13SP,"1'23""167",0,"1'23""564",0,"1'23""167",110.89,2018-10-20,2018,Suzuki,C1,GSX-R750
75,134,白井 翼,D:α-13SP,D:α-13SP,"1'29""665",1,"1'28""758",0,"1'28""758",111.35,2018-05-03,2018,Suzuki,C1,GSX-R750
76,122,宮田 徳彦,D: α13SP,D: α13SP,"1'37""539",0,"1'37""333",0,"1'37""333",110.58,2018-06-30,2018,Kawasaki,C0,ZX-10R
77,148,宮田 徳彦,D:α-13SP,D:α-13SP,"1'43""397",1,"1'42""664",0,"1'42""664",109.84,2020-07-12,2020,Kawasaki,C0,ZX-10R
78,156,宮田 徳彦,D:TT93,D:TT93,"1'34""741",0,"1'30""473",0,"1'30""473",111.34,2017-07-15,2017,Honda,C0,GROM
79,163,宮田 徳彦,P:スーパーコルサV2,P:スーパーコルサV2,"1'48""498",0,"1'36""908",0,"1'36""908",109.05,2021-05-04,2021,Kawasaki,C0,ZX-10R
80,169,宮田 徳彦,D:D212,D:D212,"1'30""102",0,"1'28""416",0,"1'28""416",109.4,2017-11-09,2017,Kawasaki,C0,ZX-10R
81,153,宮田 徳彦,D:α-13SP,D:α-13SP,"1'34""149",0,"1'32""743",0,"1'32""743",108.07,2019-09-28,2019,Kawasaki,C0,ZX-10R
82,149,宮田 徳彦,D:α-13SP,D:D212,"1'21""791",0,"1'22""608",0,"1'21""791",109.05,2018-10-20,2018,Kawasaki,C0,ZX-10R
83,145,宮田 徳彦,D:α-13SP,D:α-13SP,"1'31""587",0,"1'30""932",0,"1'30""932",110.34,2020-10-03,2020,Kawasaki,C0,ZX-10R
84,144,宮田 徳彦,D:α-14,D:α-14,"1'29""074",0,"1'29""615",0,"1'29""074",111.75,2018-05-03,2018,Kawasaki,C0,ZX-10R
85,143,宮田 徳彦,D:α13-SP,D:α13-SP,"1'23""654",0,"1'23""423",0,"1'23""423",107.92,2019-06-16,2019,Kawasaki,C0,ZX-10R
86,149,宮田 徳彦,D:D212,P:スーパーコルサSC1,"1'34""990",0,"1'34""029",0,"1'34""029",107.23,2019-11-09,2019,Kawasaki,C0,ZX-10R
87,148,宮田 徳彦,D:α-13SP,P: スーパーコルサ,"1'40""901",1,"1'39""256",0,"1'39""256",105.78,2018-08-18,2018,Kawasaki,C0,ZX-10R
88,123,伊藤 悠志,D: α-13SP,D: α-13SP,"1'39""819",1,"1'39""791",0,"1'39""791",113.37,2018-06-30,2018,Honda,C1,VTR250
89,142,伊藤 悠志,D:α-13SP,D:α-13SP,"1'44""745",0,"1'44""127",0,"1'44""127",111.41,2020-07-12,2020,Honda,C1,VTR250
90,103,伊藤 悠志,D:α13,D:α13,"1'33""445",2,"1'32""161",2,"1'34""161",116.5,2017-11-09,2017,Honda,C1,VTR250
91,108,伊藤 悠志,D:α-13SP,D:α-13SP,"1'34""286",0,"1'33""670",0,"1'33""670",109.15,2019-09-28,2019,Honda,C1,VTR250
92,141,伊藤 悠志,D:α-13SP,D:α-13SP,"1'32""351",1,"1'31""589",0,"1'31""589",111.14,2020-10-03,2020,Honda,C1,VTR250
93,124,小島 英夫,P: スーパーコルサ,P: スーパーコルサ,"1'39""889",0,"1'36""959",0,"1'36""959",110.16,2018-06-30,2018,Kawasaki,C2,ZRX1100
94,131,小島 英夫,P:スーパーコルサV3,P:スーパーコルサV3,"9'59""999",MC,"9'59""999",MC,-,,2020-07-12,2020,Kawasaki,C2,ZRX1100
95,127,小島 英夫,P:スーパーコルサ,P:スーパーコルサ,"9'59""999",MC,"1'41""620",0,"1'41""620",114.35,2021-05-04,2021,Kawasaki,C2,ZRX1100
96,162,小島 英夫,P:スーパーコルサ,P:スーパーコルサ,"1'36""942",3,"1'43""132",4,"1'39""942",123.66,2017-11-09,2017,Kawasaki,C2,ZRX1100
97,109,小島 英夫,P:スーパーコルサV2,P:スーパーコルサV2,"1'36""398",0,"1'36""809",0,"1'36""398",112.33,2019-09-28,2019,Kawasaki,C2,ZRX1100
98,128,小島 英夫,P:,スーパーコルサ,"1'26""060",0,"1'25""492",0,"1'25""492",113.99,2018-10-20,2018,Kawasaki,C2,ZRX1100
99,131,小島 英夫,P:スーパーコルサV3,P:スーパーコルサV3,"1'34""031",0,"1'32""193",0,"1'32""193",111.88,2020-10-03,2020,Kawasaki,C2,ZRX1100
100,131,小島 英夫,P:スーパーコルサ,P:スーパーコルサ,"1'31""836",0,"1'30""518",0,"1'30""518",113.56,2018-05-03,2018,Kawasaki,C2,ZRX1100
101,132,小島 英夫,P:スーパーコルサ,P:スーパーコルサ,"1'29""907",0,"1'27""972",0,"1'27""972",113.8,2019-06-16,2019,Kawasaki,C2,ZRX1100
102,117,小島 英夫,P:スーパーコルサV3,P:スーパーコルサV2,"1'39""483",0,"1'39""283",0,"1'39""283",113.22,2019-11-09,2019,Kawasaki,C2,ZRX1100
103,151,小島 英夫,P: スーパーコルサ,P: スーパーコルサ,"1'49""311",0,"1'44""940",1,"1'45""940",112.9,2018-08-18,2018,Kawasaki,C2,ZRX1100
104,125,杉本 美和子,D: α-13SP,D: α-13SP,"1'44""394",0,"1'41""138",0,"1'41""138",114.9,2018-06-30,2018,Suzuki,C2,GSX-R1000
105,133,杉本 美和子,P:スーパーコルサV3,P:スーパーコルサV2,"1'52""687",3,"1'45""946",0,"1'45""946",113.35,2020-07-12,2020,Suzuki,C2,GSX-R1000
106,130,杉本 美和子,D:α-13,D:α-13,"1'33""159",1,"1'33""041",2,"1'34""159",115.88,2017-07-15,2017,Suzuki,C2,GSX-R1000
107,128,杉本 美和子,P:ディアブロSC2,P:ディアブロSC2,"1'42""222",0,"9'59""999",MC,"1'42""222",115.03,2021-05-04,2021,Suzuki,C2,GSX-R1000
108,109,杉本 美和子,MZ:M7RR,MZ:M7RR,"1'38""867",1,"9'59""999",0,"1'39""867",123.56,2017-11-09,2017,Suzuki,C2,GSX-R1000
109,116,杉本 美和子,D:α-13SP,D:α-13SP,"1'52""875",4,"1'39""454",0,"1'39""454",115.89,2019-09-28,2019,Suzuki,C2,GSX-R1000
110,130,杉本 美和子,D:α-14,D:α-14,"1'29""881",0,"1'29""671",0,"1'29""671",119.56,2018-10-20,2018,Suzuki,C2,GSX-R1000
111,132,杉本 美和子,P:スーパーコルサ,P:スーパーコルサ,"1'35""371",1,"1'34""520",0,"1'34""520",114.7,2020-10-03,2020,Suzuki,C2,GSX-R1000
112,120,杉本 美和子,D:α-13SP,D:α-13SP,"1'30""021",0,"1'27""691",0,"1'27""691",113.44,2019-06-16,2019,Suzuki,C2,GSX-R1000
113,141,杉本 美和子,D:α-13SP,D:Q4,"1'42""231",0,"1'40""888",0,"1'40""888",115.05,2019-11-09,2019,Suzuki,C2,GSX-R1000
114,126,高橋 豊,D: TT93,D: TT93,"1'40""406",0,"1'39""220",0,"1'39""220",112.73,2018-06-30,2018,Honda,C1,GROM
115,145,高橋 豊,D:TT93GP,D:TT93GP,"1'41""135",0,"1'41""360",1,"1'41""135",108.2,2020-07-12,2020,Honda,C1,GROM
116,146,高橋 豊,D:TT93GP,D:TT93GP,"1'34""885",2,"1'35""085",0,"1'35""085",107.0,2021-05-04,2021,Honda,C1,GROM
117,110,高橋 豊,D:TT93GP,D:TT93GP,"1'31""432",0,"1'29""194",0,"1'29""194",110.36,2017-11-09,2017,Honda,C1,GROM
118,107,高橋 豊,D:TT72,D:TT72,"1'28""657",3,"9'59""999",MC,"1'31""657",114.99,2018-05-03,2018,Honda,C1,GROM
119,121,高橋 豊,D:TT93,D:TT93,"1'27""324",0,"1'23""825",0,"1'23""825",108.44,2019-06-16,2019,Honda,C1,GROM
120,145,高橋 豊,D:TT93,D:TT93,"1'36""157",0,"1'35""860",1,"1'36""157",109.65,2019-11-09,2019,Honda,C1,GROM
121,127,立田 裕樹,D: α-13SP,D: α-13SP,"1'38""816",5,"1'37""163",0,"1'37""163",110.39,2018-06-30,2018,Suzuki,C2,GSX-R750
122,132,立田 裕樹,D:α-13SP,D:α-13SP,"1'33""714",0,"1'32""954",1,"1'33""714",115.33,2017-07-15,2017,Suzuki,C2,GSX-R750
123,112,立田 裕樹,D:α13SP,D:α13SP,"1'32""970",0,"1'32""040",0,"1'32""040",113.88,2017-11-09,2017,Suzuki,C2,GSX-R750
124,108,立田 裕樹,D:α-13SP,D:α-13SP,"1'33""081",0,"1'33""043",0,"1'33""043",116.72,2018-05-03,2018,Suzuki,C2,GSR750
125,123,立田 裕樹,D:α-13SP,D:α-13SP,"1'29""353",0,"1'28""993",0,"1'28""993",115.12,2019-06-16,2019,Suzuki,C2,GSX-R750
126,158,立田 裕樹,D:α-13SP,D:α-13SP,"1'44""597",0,"1'43""285",0,"1'43""285",110.07,2018-08-18,2018,Suzuki,C2,GSX-R750
127,128,長尾 智記,D: α-13SP,D: α-13SP,"1'40""167",0,"1'37""286",0,"1'37""286",110.53,2018-06-30,2018,Honda,C2,VTR250
128,135,長尾 智記,D:α-14,D:α-14,"1'38""182",0,"1'31""273",0,"1'31""273",112.33,2017-07-15,2017,Honda,C2,VTR250
129,129,藤波 攝,D: α-13SP HR,D: α-13SP HR,"1'40""626",0,"9'59""999",0,"1'40""626",114.32,2018-06-30,2018,Honda,C2,VTR250
130,130,松下 良,P: スーパーコルサ,P: スーパーコルサ,"1'38""086",0,"1'36""181",0,"1'36""181",109.27,2018-06-30,2018,Yamaha,C0,MT-07
131,142,松下 良,P:スーパーコルサ,P:スーパーコルサ,"1'32""151",0,"1'31""324",0,"1'31""324",112.39,2017-07-15,2017,Yamaha,C0,MT-07
132,120,松下 良,P:ロッソコルサ,D:α13,"1'36""214",0,"1'32""421",0,"1'32""421",114.35,2017-11-09,2017,Yamaha,C0,MT-07
133,152,松下 良,P:スーパーコルサV2,P:スーパーコルサV2,"9'59""999",MC,"1'33""440",0,"1'33""440",108.89,2019-09-28,2019,Yamaha,C0,XSR700
134,148,松下 良,P:スーパーコルサ,P:スーパーコルサ,"1'37""558",0,"1'35""541",0,"1'35""541",108.95,2019-11-09,2019,Yamaha,C0,XSR700
135,147,松下 良,P: スパーコルサ,P: スパーコルサ,"1'41""295",1,"1'40""235",0,"1'40""235",106.82,2018-08-18,2018,Yamaha,C0,MT-07
136,131,望月 義司,D: α14,D: α14,"1'47""431",1,"1'39""479",0,"1'39""479",113.02,2018-06-30,2018,Kawasaki,C2,Z1000
137,171,望月 義司,D:α-13SP,D:α-13SP,"9'59""999",MC,"1'34""586",1,"1'35""586",111.39,2019-09-28,2019,Suzuki,C2,GSX-S1000
138,102,望月 義司,D:α13SP,D:α13SP,"1'47""139",1,"1'46""620",0,"1'46""620",113.63,2018-08-18,2018,Kawasaki,C2,Z1000
139,132,柳田 悦豪,D: α-13SP,D: α-13SP,"1'37""475",2,"1'36""071",0,"1'36""071",109.15,2018-06-30,2018,Honda,A,CRF250
140,161,柳田 悦豪,P:スーパーコルサSC1,P:スーパーコルサSC1,"1'44""229",3,"1'35""972",3,"1'38""972",105.89,2020-07-12,2020,Honda,A,CRF250X/R
141,171,柳田 悦豪,P:スーパーコルサ,P:スーパーコルサ,"1'32""688",1,"1'31""927",0,"1'31""927",103.44,2021-05-04,2021,Honda,A,CRF250X/R
142,146,柳田 悦豪,P:スーパーコルサ,P:スーパーコルサ,"1'33""887",1,"1'30""511",0,"1'30""511",111.99,2017-11-09,2017,Honda,A,CRF250
143,155,柳田 悦豪,D:α-13SP,D:α-13SP,"1'28""318",0,"1'28""451",0,"1'28""318",102.92,2019-09-28,2019,Honda,A,CRF250X/R
144,111,柳田 悦豪,P:スーパーコルサV2,P:スーパーコルサV2,"9'59""999",MC,"1'28""917",0,"1'28""917",111.55,2018-05-03,2018,Honda,A,CRF250
145,145,柳田 悦豪,D:α-13SP,D:α-13SP,"1'21""102",0,"1'19""862",0,"1'19""862",103.31,2019-06-16,2019,Honda,A,CRF250X/R
146,151,柳田 悦豪,D:α-13SP,D:α-13SP,"1'40""512",3,"1'31""322",0,"1'31""322",104.14,2019-11-09,2019,Honda,A,CRF250X/R
147,140,大川 彰人,D: α13SP,D: α13SP,"1'30""244",0,"1'29""882",0,"1'29""882",102.12,2018-06-30,2018,Honda,A,NSR250R
148,167,大川 彰人,P:スーパーコルサ,P:スーパーコルサ,"1'35""091",0,"1'33""934",0,"1'33""934",100.5,2020-07-12,2020,Honda,A,NSR250R
149,148,大川 彰人,D:α-13SP,D:α-13SP,"1'27""354",0,"1'22""476",0,"1'22""476",101.5,2017-07-15,2017,Honda,A,NSR250R
150,173,大川 彰人,P:ディアブロSC1,P:ディアブロSC1,"1'29""517",1,"1'27""868",1,"1'28""868",100.0,2021-05-04,2021,Honda,A,NSR250R
151,166,大川 彰人,D:α-13SP,D:α-13SP,"9'59""999",0,"9'59""999",0,"9'59""999",,2018-10-20,2018,Honda,A,NSR250R
152,148,大川 彰人,P:スーパーコルサV3,P:スーパーコルサV3,"1'22""407",1,"9'59""999",MC,"1'23""407",101.21,2020-10-03,2020,Honda,A,NSR250R
153,128,大川 彰人,D:α-13SP,D:α-13SP,"1'21""672",0,"1'20""110",0,"1'20""110",100.5,2018-05-03,2018,Honda,A,NSR250R
154,156,大川 彰人,D:α-13SP,D:α-13SP,"1'17""784",0,"1'17""689",0,"1'17""689",100.5,2019-06-16,2019,Honda,A,NSR250R
155,156,大川 彰人,D:α-13SP,D:α-13SP,"1'29""342",0,"1'28""568",0,"1'28""568",101.0,2019-11-09,2019,Honda,A,NSR250R
156,161,大川 彰人,D:α-13SP,D:α-13SP,"1'35""702",0,"1'34""772",0,"1'34""772",101.0,2018-08-18,2018,Honda,A,NSR250R
157,141,菊谷 宏威,D:α-13sp,D:α-13sp,"1'32""481",0,"1'31""977",1,"1'32""481",105.07,2018-06-30,2018,Kawasaki,A,ZX-10R
158,164,菊谷 宏威,D:α-13SP,D:Q4,"1'37""923",0,"1'37""292",0,"1'37""292",104.09,2020-07-12,2020,Kawasaki,A,ZX-10R
159,150,菊谷 宏威,D:α-13SP,D:α-13SP,"1'25""680",1,"1'24""994",0,"1'24""994",104.6,2017-07-15,2017,Kawasaki,A,ZX-10R
160,174,菊谷 宏威,P:ディアブロSC1,P:ディアブロSC0,"9'59""999",MC,"1'32""418",0,"1'32""418",103.99,2021-05-04,2021,Kawasaki,A,ZX-10R
161,182,菊谷 宏威,D:α-13sp,D:α-13sp,"1'28""978",2,"1'23""617",0,"1'23""617",103.46,2017-11-09,2017,Kawasaki,A,ZX-10R
162,156,菊谷 宏威,D:α-13SP,D:Q4,"1'28""989",2,"1'27""930",0,"1'27""930",102.46,2019-09-28,2019,Kawasaki,A,ZX-10R
163,164,菊谷 宏威,D:α-13SP,D:α-13SP,"9'59""999",0,"9'59""999",0,"9'59""999",,2018-10-20,2018,Kawasaki,A,ZX-10R
164,149,菊谷 宏威,D:α-13SP,D:Q4,"1'26""668",0,"1'27""012",0,"1'26""668",105.17,2020-10-03,2020,Kawasaki,A,ZX-10R
165,130,菊谷 宏威,D:α-13SP,D:α-13SP,"1'24""010",0,"1'22""834",0,"1'22""834",103.92,2018-05-03,2018,Kawasaki,A,ZX-10R
166,148,菊谷 宏威,D:α-13SP,D:Q4,"1'24""424",3,"1'20""766",0,"1'20""766",104.48,2019-06-16,2019,Kawasaki,A,ZX-10R
167,152,菊谷 宏威,D:α-13SP,D:Q4,"1'31""536",0,"1'30""478",0,"1'30""478",103.18,2019-11-09,2019,Kawasaki,A,ZX-10R
168,163,菊谷 宏威,D:α-13SP,D:α-13SP,"9'59""999",MC,"1'35""208",1,"1'36""208",102.53,2018-08-18,2018,Kawasaki,A,ZX-10R
169,142,菊谷 真希,MZ:レーステックRR,D:α-13sp,"1'41""689",0,"9'59""999",0,"1'41""689",115.53,2018-06-30,2018,Kawasaki,C1,ZX-6R
170,127,菊谷 真希,D:α-13SP,P:スーパーコルサ,"1'33""788",0,"1'31""746",0,"1'31""746",112.91,2017-07-15,2017,Kawasaki,C1,ZX-6R
171,126,菊谷 真希,D:α-13SP,D:α-13SP,"1'38""042",1,"1'35""368",1,"1'36""368",108.44,2021-05-04,2021,Suzuki,C1,GSX-R750
172,183,菊谷 真希,D:α-13sp,D:α-13sp,"1'34""373",0,"1'32""220",0,"1'32""220",114.1,2017-11-09,2017,Kawasaki,C1,ZX-6R
173,106,菊谷 真希,D:α-13SP,D:α-13SP,"1'35""990",0,"1'34""346",1,"1'35""346",111.11,2019-09-28,2019,Suzuki,C1,GSX-R750
174,144,菊谷 真希,D:α-13SP,D:α-13SP,"9'59""999",0,"9'59""999",0,"9'59""999",,2018-10-20,2018,Kawasaki,C1,ZX-6R
175,151,菊谷 真希,D:α-13SP,D:α-13SP,"1'31""429",0,"1'31""404",0,"1'31""404",110.92,2020-10-03,2020,Suzuki,C1,GSX-R750
176,104,菊谷 真希,MZ::レーステック,D:α-13SP,"1'31""707",0,"1'29""133",0,"1'29""133",111.82,2018-05-03,2018,Kawasaki,C1,ZX-6R
177,130,菊谷 真希,D:Q4,D:α-13SP,"1'28""163",0,"9'59""999",MC,"1'28""163",114.05,2019-06-16,2019,Suzuki,C1,GSX-R750
178,133,菊谷 真希,D:α-13SP,D:α-13SP,"1'38""255",1,"1'36""681",0,"1'36""681",110.25,2019-11-09,2019,Suzuki,C1,GSX-R750
179,154,菊谷 真希,D:α-13SP,D:α-13SP,"9'59""999",MC,"1'45""615",1,"1'46""615",113.62,2018-08-18,2018,Kawasaki,C1,ZX-6R
180,143,小崎 康司,D:α-13sp,D:α-13sp,"1'38""397",0,"1'37""403",1,"1'38""397",111.79,2018-06-30,2018,Honda,C1,VTR250
181,144,小崎 康司,D:α-13SP,D:α-13SP,"1'46""136",0,"1'45""792",1,"1'46""136",113.55,2020-07-12,2020,Honda,C1,VTR250
182,128,小崎 康司,D:α-13SP,D:α-13SP,"1'31""283",0,"1'30""351",1,"1'31""283",112.34,2017-07-15,2017,Honda,C1,VTR250
183,184,小崎 康司,P:スーパーコルサ,P:スーパーコルサ,"1'32""920",1,"1'31""968",1,"1'32""968",115.03,2017-11-09,2017,Honda,C1,VTR250
184,107,小崎 康司,D:α-13SP,D:α-13SP,"1'38""270",0,"1'36""304",0,"1'36""304",112.22,2019-09-28,2019,Honda,C1,VTR250
185,145,小崎 康司,D:α-13SP,D:α-13SP,"1'25""321",1,"1'24""449",0,"1'24""449",112.6,2018-10-20,2018,Honda,C1,VTR250
186,144,小崎 康司,D:α-13SP,D:α-13SP,"1'33""588",0,"1'33""662",0,"1'33""588",113.57,2020-10-03,2020,Honda,C1,VTR250
187,131,小崎 康司,D:α13-SP,D:α13-SP,"9'59""999",MC,"1'27""229",1,"1'28""229",114.13,2019-06-16,2019,Honda,C1,VTR250
188,103,小崎 康司,D:α13SP,D:α13SP,"1'43""436",0,"1'43""050",0,"1'43""050",109.82,2018-08-18,2018,Honda,C1,VTR250
189,144,三崎 雅也,D:α-13sp,D:α-13sp,"1'33""486",0,"1'31""974",2,"1'33""486",106.21,2018-06-30,2018,Suzuki,A,DR-Z400SM
190,163,三崎 雅也,P:スーパーコルサ,D:α-13SP,"1'35""268",0,"1'34""609",0,"1'34""609",101.22,2020-07-12,2020,Suzuki,A,DR-Z400SM
191,155,三崎 雅也,D:α-13SP,D:α-13SP,"1'24""573",0,"1'22""785",0,"1'22""785",101.88,2017-07-15,2017,Suzuki,A,DR-Z400SM
192,172,三崎 雅也,D:α-13SP,D:α-13SP,"1'32""276",0,"1'30""984",1,"1'31""984",103.51,2021-05-04,2021,Suzuki,A,DR-Z400SM
193,189,三崎 雅也,P:スーパーコルサ,P:スーパーコルサ,"1'28""555",1,"1'26""565",1,"1'27""565",108.34,2017-11-09,2017,Suzuki,A,DR-Z400SM
194,158,三崎 雅也,D:α-13SP,D:α-13SP,"1'27""294",2,"1'27""853",0,"1'27""853",102.37,2019-09-28,2019,Suzuki,A,DR-Z400SM
195,167,三崎 雅也,D:α-13SP,D:α-13SP,"9'59""999",0,"9'59""999",0,"9'59""999",,2018-10-20,2018,Suzuki,A,DR-Z400SM
196,147,三崎 雅也,P:スーパーコルサ,D:α-13SP,"1'24""785",5,"1'37""810",2,"1'29""785",108.95,2020-10-03,2020,Suzuki,A,DR-Z400SM
197,143,三崎 雅也,D:α-13SP,D:α-13SP,"1'23""530",0,"1'21""947",1,"1'22""947",104.06,2018-05-03,2018,Suzuki,A,DR-Z400SM
198,151,三崎 雅也,D:α-13SP,D:α-13SP,"1'20""053",1,"1'19""367",0,"1'19""367",102.67,2019-06-16,2019,Suzuki,A,DR-Z400SM
199,154,三崎 雅也,D:α-13SP,D:α-13SP,"1'31""227",0,"1'30""236",0,"1'30""236",102.9,2019-11-09,2019,Suzuki,A,DR-Z400SM
200,162,三崎 雅也,D:α-13SP,P:スーパーコルサV2,"1'38""234",0,"1'36""507",2,"1'38""234",104.69,2018-08-18,2018,Suzuki,A,DR-Z400SM
201,145,岡村 直視,D: α-13SP,D: α-13SP,"1'39""506",0,"1'39""403",0,"1'39""403",112.93,2018-06-30,2018,Honda,C1,CRM250R
202,160,岡村 直視,D:α13SP,D:α13SP,"1'29""894",0,"1'28""573",0,"1'28""573",109.59,2017-11-09,2017,Honda,C1,CRM250R
203,104,岡村 直視,P:スーパーコルサV2,P:スーパーコルサV2,"9'59""999",MC,"1'42""091",0,"1'42""091",108.8,2018-08-18,2018,Honda,C1,CRM250R
204,146,田村 静香,P:スーパーコルサ,P:スーパーコルサ,"1'42""839",0,"1'42""579",0,"1'42""579",116.54,2018-06-30,2018,Yamaha,C2,MT-03
205,133,田村 静香,D:α-13SP,D:α-13SP,"1'31""765",0,"1'30""772",0,"1'30""772",111.71,2017-07-15,2017,Honda,C2,VTR250
206,133,田村 静香,D:α-13SP,D:α-14,"2'42""900",0,"9'59""999",MC,"2'42""900",183.31,2021-05-04,2021,Yamaha,C2,MT-03
207,114,田村 静香,D:SP13,D:SP13,"1'39""928",1,"1'39""822",0,"1'39""822",123.51,2017-11-09,2017,Yamaha,C2,MT-03
208,115,田村 静香,D:α-13SP,D:α-13SP,"1'38""080",0,"1'38""449",0,"1'38""080",114.29,2019-09-28,2019,Yamaha,C2,MT-03
209,132,田村 静香,P:,スーパーコルサV2,"1'28""388",1,"1'27""203",1,"1'28""203",117.6,2018-10-20,2018,Yamaha,C2,MT-03
210,134,田村 静香,D:α-14,D:α-14,"1'34""956",0,"1'34""524",3,"1'34""956",115.23,2020-10-03,2020,Yamaha,C2,MT-03
211,124,田村 静香,P:V2,SC1,"9'59""999",MC,"9'59""999",MC,"11'38""999",,2019-06-16,2019,Yamaha,C2,MT-03
212,147,渡邉 孝志,D: TT93GP,D: TT93GP,"1'39""106",0,"1'36""628",0,"1'36""628",109.78,2018-06-30,2018,Kawasaki,C0,KSR-2
213,147,渡邉 孝志,D:TT93GP,D:TT93GP,"1'34""808",1,"1'34""026",0,"1'34""026",109.57,2019-09-28,2019,Kawasaki,C0,KSR-2
214,160,渡邉 孝志,D:TT93GP,D:TT93GP,"1'23""750",0,"1'24""823",0,"1'23""750",111.67,2018-10-20,2018,Kawasaki,C0,KSR-2
215,146,渡邉 孝志,D:TT93GP,D:TT93GP,"1'29""474",0,"1'27""610",0,"1'27""610",109.91,2018-05-03,2018,Kawasaki,C0,KSR-2
216,141,渡邉 孝志,D:TT93GP,D:TT93GP,"1'24""601",0,"1'24""148",0,"1'24""148",108.86,2019-06-16,2019,Kawasaki,C0,KSR-2
217,165,渡邉 孝志,D:TT93GP,D:TT93GP,"1'41""641",0,"1'40""925",0,"1'40""925",107.56,2018-08-18,2018,Kawasaki,C0,KSR-2
218,148,深谷 明弘,P:スーパーコルサ,P:スーパーコルサ,"9'59""999",0,"1'36""230",3,"1'39""230",112.74,2018-06-30,2018,Suzuki,C1,GSX-S1000
219,150,深谷 明弘,P:スーパーコルサ,P:スーパーコルサ,"1'45""485",1,"1'43""495",0,"1'43""495",110.73,2020-07-12,2020,Suzuki,C1,GSX-S1000
220,140,深谷 明弘,D:α-13SP,D:α-13SP,"1'31""682",0,"1'31""200",0,"1'31""200",112.24,2017-07-15,2017,Kawasaki,C1,ZX-10R
221,186,深谷 明弘,D:α-13sp,D:α-13sp,"1'32""019",1,"1'29""676",1,"1'30""676",112.19,2017-11-09,2017,Suzuki,C1,GSX-S1000
222,161,深谷 明弘,D:α-13SP,D:α-13SP,"1'23""344",1,"9'59""999",MC,"1'24""344",112.46,2018-10-20,2018,Suzuki,C1,GSX-S1000
223,138,深谷 明弘,P:スーパーコルサV2,P:スーパーコルサV2,"1'32""770",0,"1'30""539",0,"1'30""539",109.87,2020-10-03,2020,Suzuki,C1,GSX-S1000
224,104,鈴木 淳史,D:α-13SP,D:α-14,"1'48""450",0,"1'48""131",0,"1'48""131",115.69,2020-07-12,2020,Yamaha,C2,YZF-R25
225,116,鈴木 淳史,D:α-13SP,D:α-13SP,"1'38""120",0,"1'37""690",1,"1'38""120",110.41,2021-05-04,2021,Yamaha,C2,YZF-R25
226,115,鈴木 淳史,D:α-13SP,D:α-13SP,"1'38""000",0,"1'37""302",0,"1'37""302",118.07,2020-10-03,2020,Yamaha,C2,YZF-R25
227,105,平良 修一,P:スーパーコルサ,P:スーパーコルサ,"9'59""999",MC,"1'46""404",0,"1'46""404",113.84,2020-07-12,2020,Honda,C2,VTR250
